MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
208,4,75,40,1,1,87,14,6,3,45,4,60,0,5,5,91,87,8,5,2,100,Bad
113,26,70,7,6,4,50,4,0,2,13,0,58,0,1,1,0,-8,0,1,-8,50,Bad
124,6,67,25,0,0,100,-7,7,8,25,1,28,-7,0,0,13,-8,4,1,1,45,Good
308,8,109,38,0,0,100,-7,7,8,44,2,50,3,1,1,1,84,4,1,1,38,Good
205,17,92,6,2,0,50,4,3,5,10,0,20,-7,0,0,14,-8,3,1,1,57,Bad
168,2,99,27,0,0,86,23,6,6,28,2,18,0,2,2,24,51,7,1,0,40,Bad
154,9,68,19,1,0,75,3,4,5,20,2,30,0,0,0,55,92,5,3,2,80,Bad
266,5,92,32,0,0,94,53,6,6,29,1,6,0,1,1,49,-8,16,1,8,77,Good
340,3,102,14,0,0,100,-7,7,8,22,1,21,-7,0,0,2,-8,2,-8,0,33,Good
246,1,79,26,0,0,100,-7,7,8,29,6,26,0,1,1,50,-8,4,2,4,50,Bad
318,31,99,12,0,0,100,-7,7,8,12,0,25,0,0,0,0,52,0,2,0,25,Bad
213,7,102,35,0,0,91,18,6,6,37,1,43,-7,0,0,4,53,4,4,0,69,Good
147,6,51,17,0,0,100,-7,7,8,17,3,59,-7,0,0,50,91,3,3,1,67,Bad
133,7,67,11,0,0,100,-7,7,8,2,1,55,8,0,0,0,82,0,2,0,40,Good
37,13,22,9,0,0,100,-7,5,8,9,0,11,0,0,0,39,-8,5,1,1,67,Good
94,4,38,16,0,0,94,20,6,6,16,3,50,0,0,0,94,88,5,1,3,86,Bad
196,17,84,6,0,0,100,-7,7,8,7,0,0,-7,0,0,14,-8,4,-8,1,100,Bad
160,14,82,15,0,0,100,-7,7,8,15,0,20,0,1,1,31,56,2,2,0,50,Good
191,2,117,40,0,0,100,-7,7,8,6,5,7,0,3,3,15,-8,6,-8,2,26,Good
207,4,46,17,0,0,100,-7,7,8,17,4,24,0,4,3,62,66,6,2,0,67,Bad
50,15,27,8,0,0,100,-7,7,8,9,0,63,-7,1,1,10,90,2,2,0,80,Bad
140,13,81,12,0,0,92,82,6,6,13,0,38,12,0,0,1,93,1,2,0,50,Good
207,8,92,18,0,0,100,-7,7,8,18,1,50,9,0,0,28,75,3,3,1,60,Bad
381,22,105,11,0,0,100,-7,7,8,11,0,82,0,0,0,2,37,1,4,0,83,Good
-8,4,65,21,0,0,90,10,4,6,0,2,33,-8,0,0,31,75,5,4,1,82,Good
68,5,58,27,1,1,93,28,6,6,5,3,30,-7,2,2,24,18,5,3,0,60,Bad
160,14,76,13,0,0,92,26,6,6,13,0,46,4,1,1,16,64,2,3,0,71,Good
72,3,48,14,1,0,87,20,6,5,15,2,7,-7,1,1,29,-8,5,1,0,58,Bad
